        Corr.   Lasso   Linear_reg      MIC     RF      RFE     Ridge   Stability       Mean
Var202  0.0     0.0     0.0     0.22    0.06    0.27    0.0     0.0     0.07
Var203  0.0     0.0     0.0     0.0     0.0     0.42    0.02    0.0     0.06
Var204  0.0     0.0     0.0     0.11    0.05    0.31    0.0     0.0     0.06
Var205  0.0     0.0     0.0     0.0     0.01    0.5     0.0     0.0     0.06
Var206  0.01    0.01    0.0     0.06    0.02    0.48    0.0     0.0     0.07
Var207  0.01    0.0     0.0     0.01    0.0     0.37    0.0     0.0     0.05
Var208  0.0     0.0     0.0     0.0     0.0     0.33    0.0     0.0     0.04
Var210  0.13    0.0     0.0     0.05    0.0     0.63    0.18    0.0     0.12
Var211  1.0     1.0     0.0     0.29    0.01    0.63    1.0     0.0     0.49
Var212  0.0     0.0     0.0     0.05    0.02    0.46    0.0     0.0     0.07
Var214  0.07    0.0     0.0     0.23    0.02    0.24    0.0     0.0     0.07
Var216  0.03    0.0     0.0     0.31    0.03    0.33    0.0     0.0     0.09
Var217  0.0     0.0     0.0     0.24    0.07    0.25    0.0     0.0     0.07
Var218  0.07    0.0     0.0     0.03    0.01    0.6     0.03    0.0     0.09
Var219  0.05    0.0     0.0     0.03    0.01    0.51    0.0     0.0     0.08
Var220  0.0     0.0     0.0     0.18    0.05    0.07    0.0     0.0     0.04
Var221  0.0     0.0     0.0     0.01    0.01    0.51    0.01    0.0     0.07
Var222  0.01    0.0     0.0     0.17    0.05    0.27    0.0     0.0     0.06
Var223  0.0     0.0     0.0     0.02    0.01    0.59    0.02    0.0     0.08
Var225  0.05    0.0     0.0     0.05    0.01    0.62    0.12    0.0     0.11
Var226  0.0     0.0     0.0     0.06    0.03    0.43    0.0     0.0     0.07
Var227  0.0     0.0     0.0     0.01    0.01    0.54    0.0     0.0     0.07
Var228  0.01    0.0     0.0     0.02    0.01    0.44    0.0     0.0     0.06
Var229  0.1     0.0     0.0     0.03    0.01    0.59    0.02    0.0     0.09
missing_count   0.14    0.06    0.0     0.06    0.03    0.55    0.03    0.0     0.11
